status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl 0	ConvertToHalfAlphanumeric
Conversion	Ctrl 0	ConvertToHalfAlphanumeric
Composition	Ctrl 2	ConvertWithoutHistory
Composition	Ctrl 6	ConvertToHiragana
Conversion	Ctrl 6	ConvertToHiragana
Composition	Ctrl 7	ConvertToFullKatakana
Conversion	Ctrl 7	ConvertToFullKatakana
Composition	Ctrl 8	ConvertToHalfWidth
Conversion	Ctrl 8	ConvertToHalfWidth
Composition	Ctrl 9	ConvertToFullAlphanumeric
Conversion	Ctrl 9	ConvertToFullAlphanumeric
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl Eisu	ToggleAlphanumericMode
Conversion	Ctrl Eisu	ToggleAlphanumericMode
Precomposition	Ctrl Eisu	ToggleAlphanumericMode
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl b	MoveCursorLeft
Conversion	Ctrl b	SegmentFocusLeft
Composition	Ctrl d	Delete
Composition	Ctrl e	MoveCursorToEnd
Conversion	Ctrl e	SegmentFocusLast
Composition	Ctrl f	MoveCursorRight
Conversion	Ctrl f	SegmentFocusRight
Composition	Ctrl g	Delete
Conversion	Ctrl g	Cancel
Conversion	Ctrl g	Cancel
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	SegmentWidthShrink
DirectInput	Ctrl j	IMEOn
Conversion	Ctrl j	Commit
Composition	Ctrl k	ConvertToFullKatakana
